Region,Nationality,Year,Number,,
North Europe,United  Kingdom,2023,"817,220",,
West Europe,Austria,2023,"88,706",,
West Europe,Belgium,2023,"85,512",,
West Europe,France,2023,"545,003",,
West Europe,Germany,2023,"729,163",,
West Europe,Luxembourg,2023,"4,588",,
West Europe,Netherlands,2023,"229,539",,
West Europe,Switzerland,2023,"156,337",,
Central/East Europe,Belarus,2023,"9,062",,
Central/East Europe,Bulgaria,2023,"12,709",,
Central/East Europe,Czech Republic,2023,"48,940",,
Central/East Europe,Estonia,2023,"14,900",,
Central/East Europe,Hungary,2023,"27,906",,
Central/East Europe,Kazakhstan,2023,"172,489",,
Central/East Europe,Kyrgyzstan,2023,"4,726",,
Central/East Europe,Latvia,2023,"9,137",,
Central/East Europe,Lithuania,2023,"18,675",,
Central/East Europe,Poland,2023,"121,700",,
Central/East Europe,Romania,2023,"36,150",,
Central/East Europe,Russia,2023,"1,482,611",,
Central/East Europe,Slovakia,2023,"21,303",,
Central/East Europe,Ukraine,2023,"36,426",,
Central/East Europe,Uzbekistan,2023,"34,151",,
South/Medit Europe,Croatia,2023,"6,370",,
South/Medit Europe,Cyprus,2023,"2,893",,
South/Medit Europe,Greece,2023,"16,562",,
Middle East,Israel,2023,"217,084",,
South/Medit Europe,Italy,2023,"191,983",,
South/Medit Europe,Portugal,2023,"41,101",,
South/Medit Europe,Serbia,2023,"7,255",,
South/Medit Europe,Slovenia,2023,"9,828",,
South/Medit Europe,Spain,2023,"153,458",,
South/Medit Europe,Turkey,2023,"69,108",,
Europe,Other Europe,2023,"14,203",,
Europe,East  Europe,2023,,,
America,Canada,2023,"214,264",,
America,Mexico,2023,"32,195",,
America,USA,2023,"930,206",,
America,Argentina,2023,"18,782",,
America,Brazil,2023,"50,005",,
America,Chile,2023,"13,583",,
America,Colombia,2023,"8,817",,
America,Peru,2023,"6,397",,
America,Uruguay,2023,"3,064",,
America,Other America,2023,"10,148",,
Africa,Morocco,2023,"8,899",,
Africa,South Africa,2023,"60,280",,
Africa,Ethiopia,2023,"12,845",,
Africa,Kenya,2023,"4,459",,
Africa,Mauritius,2023,"12,099",,
Africa,Other Afirca,2023,"23,485",,
ASEAN,Brunei,2024,"16,188",,
ASEAN,Cambodia,2024,"553,060",,
ASEAN,Indonesia,2024,"876,610",,
ASEAN,Laos,2024,"1,124,202",,
ASEAN,Malaysia,2024,"4,952,078",,
ASEAN,Myanmar,2024,"546,629",,
ASEAN,Philippines,2024,"598,124",,
ASEAN,Singapore,2024,"1,009,640",,
ASEAN,Vietnam,2024,"984,248",,
East Asia,China,2024,"6,733,162",,
East Asia,Hong Kong,2024,"876,076",,
East Asia,Japan,2024,"1,050,904",,
